chunk,question,answer
"the data was requested to determine a if the unit experienced the system disturbance on february 26. b if the unit continued operating during c and after the disturbance . if not , was combustion stability . the reason related to of clearly experienced the the nine units of the fifty four units currently in operation in the region , only ten were known to be operating on february 26. nine of the ten grid units disturbance . that experienced the event , two units tripped . meticulous evaluation of the operating data of these two units revealed that neither of the lean trips was associated with combustion instability or a flameout . all eight units that successfully operated through the disturbance had a dry low nox dln combustion system . in summary , none of the operating units in the region that were investigated exhibited the lean combustion instability concerns associated with the nerc advisory . as such , siemens believes the data concurs with the aforementioned technical position that the susceptibility of siemens units experiencing combustion flameout as a result of an overfrequency event is relatively low . seventeen units did not respond to the data request .","What did the operating data show regarding combustion stability on February 26, 2008?","Of the nine units operating during the disturbance, two tripped but neither due to combustion instability or flameout. The eight units that continued operating had DLN combustion systems and showed no lean combustion issues. This confirms Siemens' technical position that susceptibility is low."
"none of the known operating units were vframe units . first , consideration of the frames and the differences in their droop control settings is required . standard w501x units typically have a 4 droop setting with a 2 rpm 0.033 hz deadband before droop activation . this tight deadband results in a quicker reaction by the control system and potentially a larger reduction in fuel flow during an overfrequency event . the v frame units on the other hand , have a slightly different philosophy . there are two different frequency response options available on vframe units . the standard droop control setting is typically set to 18 rpm 0.3 hz deadband , while units with the fast frequency response option have a 3.6 rpm 0.06 hz deadband . to rapidly respond in addition to the tighter deadband , the fast frequency response option includes a faster actuating igv assembly . this allows the unit to over frequency events while maintaining a constant fueltoair ratio . it is believed that none of the vframe units currently operating in north america were purchased with this option . vframe unit flame stability is maintained by limiting the rate which load changes","How do droop settings and frequency response options affect V-frame turbine flame stability?","V-frame turbines have standard and fast frequency response droop settings that control fuel flow adjustments during overfrequency events. Standard W501X units react faster due to tight deadbands. Fast frequency response units include a faster IGV assembly to maintain constant fuel-to-air ratio. These settings help maintain flame stability during grid frequency excursions."
"occur during grid frequency excursions . in key determining factor another susceptibility to flameout is the combustion system . by design , the more advanced premix combustion systems i.e . dry low nox and ultra low nox utilize a greater overall percentage of premixed flame zones making inherently more them susceptible to flameouts . additionally , the more aggressively the machine is tuned for emissions , the more susceptible it is to combustion instability . on the other hand , units with combustion conventional systems utilize a centralized diffusion type created 121908 rev . 0 date revised 000000 2008 siemens energy , inc. all rights reserved . siemens confidential information service bulletin sb5080021gten01 title response to the north american electric reliability corporation nerc industry advisory letter 19 december 2008 page 6 of 6 flame , which is fundamentally more stable and thus , far less susceptible to lean flameout . going forward low susceptibility although engineering evaluations and data reviews indicate that siemens units have relatively turbine combustion lean blowout phenomenon during an overfrequency grid disturbance , siemens energy , inc. is proactively taking action to further reduce the possibility of such phenomenon . to control methodologies are new in","Which turbine combustion systems are more or less susceptible to lean flameout?","Advanced premix combustion systems (DLN and ULN) are more susceptible to flameouts due to higher premixed flame zone percentages and aggressive tuning for emissions. Conventional diffusion flame systems are more stable and less prone to lean flameout. Siemens is taking additional actions to reduce risk during overfrequency events."
"development for the advanced multistage combustion systems that are intended to further enhance flame stability during similar grid disturbances . please contact your representative for more information . local siemens created 121908 rev . 0 date revised 000000 2008 siemens energy , inc. all rights reserved . siemens confidential information","What is Siemens doing to enhance flame stability during grid disturbances?","Siemens is developing advanced multistage combustion systems to further enhance flame stability during similar grid disturbances."
"these settings should be recorded for future refer ence . the settings can also be stored using the usrs parameter , on the factory page . for saving and restor ing parameters , see chapter eight , features . for de tails on configuring the setup page , see chapter five , setup page . step 4 configure the operations page . the operations page contains the parameters that the equipment operator may need to set or change from time to time . this includes calibration offset , autotune , pid parameters and alarm set points . in some cases the oem manufacturer may set most of these parame ters because the equipment operates with little varia tion i.e. , always the same temperature , always the same heat load . in equipment where demands could vary significantly , the oem may leave parameter ad justments to the end user i.e. , many different tempera ture settings , different heat loads . the operations page on the series sd31 controller is customizable so that only the parameters that the operator may need to use will appear in the display . settings that wont need to be adjusted can be hidden","What is the purpose of the operations page on the SD31 controller?","The operations page contains parameters that the equipment operator may need to set or change, such as calibration offset, autotune, PID parameters, and alarm set points. It is customizable so only relevant parameters appear, and unnecessary settings can be hidden."
"from the operator , using the programming page . for more details on the programming page , see chapter eight , features . for details on configuring parameters on the operations page , see chapter six , operations parameters tables . once you have verified the con troller is operating properly , be sure to document all of your parameter settings . each parameter table has a settings column for you to write in your values . how to use the series sd31 controller before you use your series sd31 controller , it must be installed and configured correctly . which setup steps you need to perform will depend on how you will use it . if you purchased the controller to design into your products you will need to do the first three steps and maybe some of the fourth step . some wiring , such as the final wiring of a communications connection or an alarm output for signaling an external device , might be left to the end user . in highly specialized applications with lit tle variation in operation and heat load , the oem might configure almost all the parameters . if you purchased the","What should be done before using the SD31 controller?","Before using the SD31 controller, it must be installed and configured correctly. Parameter settings should be documented, and depending on the use case, some wiring and setup steps may need to be performed by the end user, especially for specialized applications."
"controller to design and in stall into new equipment for your own use or to retrofit into existing equipment you will need to complete all four steps . if you purchased the controller installed in equipment designed around it you will probably only need to do the fourth step . in some instances , you may need to wire it for serial com munications andor an alarm output . some serial com munications parameters on the setup page may need to be changed . step 1 mount and install the controller . the series sd31 controller is designed to be panel mounted in a standard din opening . it is a 132 din size controller . cut the correct size hole into the panel and mount the controller , using its mounting brackets . see chapter two for details on installation and mount ing . if you retrofit the series sd31 controller into an ex isting application , you may need to use a watlow adapter plate to adapt it to the smaller controller size . step 2 wire the controller . the controller will need to have its power , input and output wiring installed . the wiring depends","What are the first steps for installing the SD31 controller?","The first steps are to mount and install the controller in a standard DIN opening, using mounting brackets, possibly with an adapter plate if retrofitting. Then wire the power, input, and output according to the specific model number."
"on the spe cific model number of the series sd31 controller . the dimension illustrations in chapter two show the loca tion of the model number . use the model number to de termine which wiring diagrams to follow for your con troller . see chapter two for wiring details . step 3 configure the setup page . setup page parameters tell the controller what in put and output devices are wired to the controller and how the controller should function . without the proper setup page settings , the controller will not operate or could operate erratically . since these settings require detailed knowledge on the wiring and operation of the equipment , the oem or the designer normally pro grams these parameters . some settings , such as the baud rate or controller address , are setup page param eters , but would probably be set by the end user . watlow series sd31 cid1 3 cid1 chapter 1 over view caution follow the installa tion procedure exactly to guarantee a proper ip65ne ma 4x seal . make sure the gasket between the panel and the rim of the case is not twisted and is seated proper ly","What is the purpose of the setup page on the SD31 controller?","The setup page configures which input and output devices are wired to the controller and how it should function. Proper setup is required to ensure correct operation, and certain parameters like baud rate or controller address may be set by the end user."
"failure to do so could re sult in damage to equipment . note contact your local green lee supplier for the appropriate punch kit and cutout tools re quired for rapid mounting . 2 install and wire series sd31 controller dimensions front 53.6 mm 2.11 in 45.0 to 45.6 mm 1.77 to 1.79 in 30.7 mm 1.21 in setset panel cutout panel thickness 1.5 to 9.5 mm 0.060 to 0.375 in 22.2 to 22.5 mm 0.87 to 0.89 in 12.7 mm 0.50 in minimum 12.7 mm 0.50 in minimum top back 100.9 mm 3.98 in 8.6 mm 0.34 in ridges tabs with teeth 47.2 mm 1.86 in 29.3 mm 1.15 in to remove spring clamp con nector , pull straight back . model number customer front panel 0.48 mm 0.019 in maximum gap between controller front and customer front panel to remove screw clamp con nector , pull straight up . figure 4a dimensions spring clamp wiring connec tor note to insert the wire , push the wire into the desired connec tion number , and it should automatically lock into place . to remove the wire , press and hold the orange release tab with a small screwdriver","What tools are recommended for rapid mounting of the SD31 controller?","Contact your local Green Lee supplier for the appropriate punch kit and cutout tools required for rapid mounting of the SD31 controller."
"pull the wire out of the con nection . solid or tinned wire recommended . series sd31 wiring connectors figure 4b sd31 with a uni versal process output installed for output 1 s d 3 1 f . figure 4c sd31 with other than a universal process output installed for output 1 s d 3 1 c , k or j . 1 2 3 4 5 6 7 8 9 10 11 1 2 3 4 5 6 8 9 1011 screw clamp connnector spring clamp connnector watlow series sd31 cid1 4 cid1 chapter 2 install and wire note the sd31 model number determines which con nector diagram applies to your unit . caution follow the installa tion procedure exactly to guarantee a proper ip65ne ma 4x seal . make sure the gasket between the panel and the rim of the case is not twisted and is seated properly . failure to do so could result in damage to equipment . installing the series sd31 controller mounting bracket panel mounting tab mounting ridge gasket bezel case arrows indicate the direction of pull to remove the connectors . ip65nema 4x seal example 1. make the panel cutout using the","How do you ensure the IP65/NEMA 4X seal is correct when installing the SD31 controller?","Follow the installation procedure exactly, ensure the gasket is not twisted and is seated properly, and use the correct panel cutout. Arrows indicate the direction to remove connectors to maintain the seal."
"mounting template dimensions in this chapter . 2. check that the rubber gasket lies in its slot at the back of the bezel . insert the controller into the panel cutout . 3. while pressing the bezel firmly against the panel , slide the mounting bracket over the back of the controller . 4. if the installation does not require an ip65nema 4x seal , slide the bracket up to the back of the panel enough to eliminate the spacing between the gas ket and the panel . for an ip65nema 4x seal , use your thumb to lock the tabs into place while pressing the controller from side to side . dont be afraid to apply enough pres sure to properly install the controller . if you can move the controller back and forth in the cutout , you do not have a proper seal . the tabs on each side of the bracket have teeth that latch into the ridges . each tooth is staggered at a different depth from the front so only one of the tabs on each side is ever locked into the ridges at any time . either the two middle tabs or the","How should the mounting bracket tabs be secured for an IP65/NEMA 4X seal on the SD31?","Use your thumb to lock the tabs into place while pressing the controller side to side. Each tab has staggered teeth that latch into ridges, ensuring only one tab per side is locked at a time. Proper seal is indicated if the controller cannot move in the cutout."
"two tabs diagonal from each other will be engaged . 5. if the matching tabs are not engaged , you do not have an ip65nema 4x seal . the space between the bezel and panel must be 0 to 0.48 mm 0 to 0.019 in maximum . removing the sd31 controller 1. remove the terminal cover and all the wiring connectors from the back of the controller . 2. slide a thin , wide tool putty knife under all three mounting tabs on the top and then the bottom , while pushing forward on the back of the case . be ready to support the controller as it slides out of the panel cutout . watlow series sd31 cid1 5 cid1 chapter 2 install and wire warning use national electric nec or other countryspecific standard wiring and safety practices when wiring and connecting this con troller to a power source and to electrical sensors or peripheral devices . failure to do so may re sult in damage to equipment and property , andor injury or loss of life . wiring the series sd31 isolation blocks electrical isolation exists between each of these blocks . sensor input power supply input switched","How do you remove the SD31 controller from the panel?","Remove the terminal cover and wiring connectors, then slide a thin, wide tool (like a putty knife) under all three mounting tabs on top and bottom while pushing forward on the back of the case. Support the controller as it slides out."
"dc outputs analog process outputs eiatia485 communi cations input relay outputs mechanical and solidstate provide isolation through their relay contacts . each relay output is isolated from the blocks above and is isolated from other relay outputs . spring clamp wiring connector note to insert the wire , push the wire into the desired connection num ber , and it should automatically lock into place . to remove the wire , press and hold the orange release tab with a small screw driver . pull the wire out of the connection . solid or tinned wire recommended . the model number for each output option appears with its wiring dia gram . check the label on the controller and compare your model number to those shown here and to the model number breakdown in the appendix of this manual . the connectors on the back of the series sd31 are different for different model numbers . see page 4. where two different combinations of connectors may appear , we show both in the diagrams . all outputs are referenced to a deenergized state . all wiring and fusing must conform to the national electric code and to any locally applicable","How are the SD31 controller wiring connectors designed for safety?","Each relay output and block is electrically isolated from others. Spring clamp wiring connectors lock automatically when wire is inserted. All outputs are referenced to a de-energized state. Wiring must conform to NEC and local codes."
"codes as well . figure 6a high voltage ac power wiring sd31 h high cid127 nominal voltage 100 to 240v ac 1 2 1 2 3 warning if high voltage is ap plied to a lowvoltage controller , irreversible damage will occur . figure 6b low voltage ac power wiring sd31 l low cid127 nominal voltage 24 acdc cid127 class 2 power source required for agency compliance 1 2 1 2 3 watlow series sd31 cid1 6 cid1 chapter 2 install and wire warning use national electric nec or other countryspecific standard wiring and safety practices when wiring and connecting this con troller to a power source and to electrical sensors or peripheral devices . failure to do so may re sult in damage to equipment and property , andor injury or loss of life . spring clamp wiring connector note to insert the wire , push the wire into the desired connection num ber , and it should automatically lock into place . to remove the wire , press and hold the orange release tab with a small screw driver . pull the wire out of the connection . solid or tinned wire recommended . note to prevent ground","What is the nominal voltage range for the high voltage AC SD31 controller (H)?","The nominal voltage for the high voltage AC SD31 controller (H) is 100 to 240V AC. Applying high voltage to a low-voltage controller can cause irreversible damage."
"loops , isolation needs to be maintained from input to output when using switched dc or analog process outputs . warning process input may not have sensor break protec tion . outputs can remain full on . figure 7a thermocouple input all model numbers thermocouples are polarity sensitive . the negative lead usually red must be connected to terminal 11. cid127 input impedance 20 m 6 8 9 1 0 1 1 10 11 10 11 4 5 6 7 8 9 1 0 1 1 figure 7b rtd input 100 din curve 0.00385 c all model numbers terminals 8 and 11 must be shorted for a twowire rtd . for threewire rtds , the s1 lead usually white must be connected to terminal 10. cid127 nominal excitation current 390 a 4 5 6 7 8 9 1 0 1 1 8 10 11 s2 8 s1 10 11 s2 8 s1 10 s3 11 6 8 9 1 0 1 1 6 8 9 1 0 1 1 2wire rtd 3wire rtd figure 7c 0 to 10v dc process input all model numbers cid127 input impedance 20 k , dc only 9 11 6 8 9 1 0 1","How should thermocouples and RTDs be connected to the SD31 controller?","Thermocouples are polarity sensitive; the negative lead (usually red) must connect to terminal 11. For 2-wire RTDs, terminals 8 and 11 must be shorted; for 3-wire RTDs, the S1 lead (usually white) connects to terminal 10."
"1 9 11 3 4 5 6 7 8 9 1 0 1 1 figure 7d 0 to 50mv dc process input all model numbers cid127 input impedance 20 m , dc only 4 10 11 6 8 9 1 0 1 1 5 6 7 8 9 1 0 1 1 10 11 watlow series sd31 cid1 7 cid1 chapter 2 install and wire warning process input may not have sensor break protec tion . outputs can remain full on . warning use national electric nec or other countryspecific standard wiring and safety practices when wiring and connecting this con troller to a power source and to electrical sensors or peripheral devices . failure to do so may re sult in damage to equipment and property , andor injury or loss of life . quencharc note switching pilot duty inductive loads relay coils , solenoids , etc . with the mechanical relay or solidstate relay output op tions requires use of an r.c . suppressor . watlow carries the r.c . sup pressor quencharc brand name , which is a trademark of itw paktron . watlow part no . 0804 01470000. spring clamp wiring connector note to insert the","What is required when switching pilot duty inductive loads with SD31 outputs?","Use an R.C. suppressor (such as Watlow Quencharc, part no. 0804 01470000) when switching pilot duty inductive loads with mechanical or solid-state relay outputs to prevent damage."
"wire , push the wire into the desired connection num ber , and it should automatically lock into place . to remove the wire , press and hold the orange release tab with a small screw driver . pull the wire out of the connection . solid or tinned wire recommended . figure 8a 0 to 20 ma process input all model numbers cid127 input impedance 100 , dc only cid127 controller does not supply power for the current loop 8 11 6 8 9 1 0 1 1 8 11 4 5 6 7 8 9 1 0 1 1 5 6 7 8 9 1 0 1 1 power supply 8 11 transmitter two wire transmitter wiring figure 8b output 1 mechanical relay sd31 j cid127 form a contact cid127 2 a , resistive cid127 125 va pilot duty , 120240v ac , inductive cid127 see quencharc note cid127 240v ac maximum cid127 30v dc maximum cid127 for use with ac or dc cid127 minimum load current 10 ma cid127 output does not supply power common 5 normally open 6 4 5 6 mechanical relay com . 5 n.o . 6 internal circuitry figure 8c output 1 solidstate","What is the maximum voltage for the SD31 mechanical relay output?","The SD31 mechanical relay output is rated for up to 240V AC maximum and 30V DC maximum. Minimum load current is 10 mA."
"relay sd31 k cid127 form a contact cid127 0.5 a maximum , resistive cid127 20 va pilot duty , 120240v ac , inductive cid127 see quencharc note cid127 24 to 240v ac cid127 minimum load current 10 ma cid127 maximum leakage current 100 a cid127 not for use with direct current dc cid127 output does not supply power common 5 normally open 6 4 5 6 solidstate relay solidstate switch 5 6 com . n.o . internal circuitry watlow series sd31 cid1 8 cid1 chapter 2 install and wire warning use national electric nec or other countryspecific standard wiring and safety practices when wiring and connecting this con troller to a power source and to electrical sensors or peripheral devices . failure to do so may re sult in damage to equipment and property , andor injury or loss of life . note to prevent ground loops , isolation needs to be maintained from input to output when using switched dc or analog process outputs . quencharc note switching pilot duty inductive loads relay coils , solenoids , etc . with the mechanical relay or solidstate relay output op tions requires use of an r.c . suppressor . watlow carries","What is the maximum current for the SD31 solid-state relay output?","The SD31 solid-state relay output can handle a maximum of 0.5 A resistive, 20 VA pilot duty, 24–240V AC, with a minimum load current of 10 mA and a maximum leakage current of 100 µA. R.C. suppressors are required for inductive loads."
"the r.c . sup pressor quencharc brand name , which is a trademark of itw paktron . watlow part no . 0804 01470000. spring clamp wiring connector note to insert the wire , push the wire into the desired connection num ber , and it should automatically lock into place . to remove the wire , press and hold the orange release tab with a small screw driver . pull the wire out of the connection . solid or tinned wire recommended . figure 9a output 1 switched dc sd31 c cid127 supply current 30 ma dc maximum cid127 supply voltage 6 to 12v dc cid127 not recommended for switching mechanical relays cid127 output supplies power switched dc load 5 6 dc dc internal circuitry dc dc 5 6 4 5 6 figure 9b output 1 process sd31 f cid127 analog output is scalable between 0 to 10v dc or 0 to 20 ma dc cid127 load capability voltage 1 k minimum current 800 maximum cid127 output supplies power cid127 can not use voltage and current output at the same time amps 5 volts 6 com 7 4 5 6 7 8 figure 9c output 2 mechanical relay sd31 j","What is the maximum supply current and voltage for SD31 switched DC output 1 (C)?","The maximum supply current for SD31 switched DC output 1 (C) is 30 mA DC, and the supply voltage is 6 to 12 V DC. It is not recommended for switching mechanical relays."
"cid127 form a contact cid127 2 a , resistive cid127 125 va pilot duty , 120240v ac , inductive cid127 see quencharc note cid127 240v ac maximum cid127 30v dc maximum cid127 for use with ac or dc cid127 minimum load current 10 ma cid127 output does not supply power common normally open 3 4 2 3 4 mechanical relay com . 3 n.o . 4 internal circuitry watlow series sd31 cid1 9 cid1 chapter 2 install and wire warning use national electric nec or other countryspecific standard wiring and safety practices when wiring and connecting this con troller to a power source and to electrical sensors or peripheral devices . failure to do so may re sult in damage to equipment and property , andor injury or loss of life . figure 10a output 2 solidstate relay sd31 k cid127 form a contact cid127 0.5 a maximum , resistive cid127 20 va pilot duty , 120240v ac , inductive cid127 see quencharc note cid127 24 to 240v ac cid127 minimum load current 10 ma cid127 maximum leakage current 100 a cid127 not for use with direct current dc cid127 output does not supply power quencharc note switching pilot duty","What are the specifications of SD31 output 2 solid-state relay (K)?","The SD31 solid-state relay output 2 (K) has a maximum current of 0.5 A, 20 VA pilot duty, 24 to 240 V AC, minimum load current 10 mA, and a maximum leakage current of 100 µA. It is not for use with DC and does not supply power."
"inductive loads relay coils , solenoids , etc . with the mechanical relay or solidstate relay output op tions requires use of an r.c . suppressor . common normally open 3 4 2 3 4 solidstate relay solidstate switch 3 4 com . n.o . internal circuitry figure 10b output 2 switched dc sd31 c watlow carries the r.c . sup pressor quencharc brand name , which is a trademark of itw paktron . watlow part no . 0804 01470000. cid127 maximum supply current 30 ma dc cid127 supply voltage 6 to 12v dc cid127 not recommended for switching mechanical relays cid127 output supplies power switched dc note to prevent ground loops , isolation needs to be maintained from input to output when using switched dc or analog process outputs . dc 3 dc 4 2 3 4 load 3 4 dc dc internal circuitry figure 10c output 2 eiatia485 sd31 u cid127 isolated 50 v dc cid127 half duplex cid127 for more communications information , see the features chapter tr 3 tr 4 2 3 4 watlow series sd31 cid1 10 cid1 chapter 2 install and wire selecting an eiatia232 to eiatia485 converter when choosing an eiatia 232 to","What is the maximum supply current and voltage for SD31 output 2 switched DC (C) and what is the isolation for EIA-485 output?","The SD31 output 2 switched DC (C) has a maximum supply current of 30 mA DC and a supply voltage of 6 to 12 V DC. The EIA-485 output is isolated 50 V DC and operates in half-duplex mode."
"485 converter , look for one with the following features twowire capability eiatia485 can be implemented as a twowire sys tem or a fourwire system . most watlow controllers , including the series sd31 , use twowire communica tions when working with eiatia485 . the converter selected must have a twowire mode . some convert ers can only be used in a fourwire mode . automatic send data control in a twowire system , both the transmitted signals and the received signals travel over the same pair of wires , so the converter must have a method of chang ing from the transmit mode to the receive mode . some converters require the toggling of a control line usually the rts line to perform this transition , while others use an automatic timing circuit . the toggling method is dependent on the pc software to toggle the control line and the pcs operating system to make that transition happen in a timely manner . because of these dependencies , the best choice for a converter is one with automatic control . isolation converters are available with or without inputto output isolation . an isolated converter is not a re quirement","What features should an EIA-232 to EIA-485 converter have for use with SD31 controllers?","The converter should support two-wire mode (compatible with most SD31 controllers), have automatic send/receive control for switching between transmit and receive, and may optionally provide input-to-output isolation."
"when used with the series sd31 , but it is recommended to avoid ground loops . isolation could be a consideration when the series sd31 will be used on a network with other devices that may re quire isolation . power supply many converters can be powered up either through the signals of a serial port or through an external power supply . because some computers , such as lap tops , do not always provide enough power to supply the converter , we recommend using an external pow er supply with specifications as recommended by the converter manufacturer . isolated converters may re quire two supplies . biasing and termination if the system does not work properly , it may need termination resistors at each end of the network . a typical installation would require a 120ohm resistor across the transmitreceive terminals 3 and 4 of the last controller in the network and the converter box . pullup and pulldown resistors may be needed at the converter to maintain the correct voltage during the idle state . the pullup resistor is connected be tween the positive of the dc supply and the tr terminal . the pulldown resistor is","How should SD31 communications converters be powered and terminated?","Converters can be powered via the serial port signals or an external power supply (recommended if the PC cannot supply enough power). Termination resistors (e.g., 120 Ω across transmit/receive terminals of the last controller) and pullup/pulldown resistors may be needed to maintain correct idle voltages."
"connected be tween the negative of the dc supply and the tr terminal . 485sd9tb watlow pn 083004730001 12v dc td b gnd gnd td a tr tr 4 3 power supply 120v ac 6 ft. comms cable watlow pn 083004730003 watlow pn 083004730002 figure 11a bb converters nonisolated converter 485sd9tb bb electronics manufacturing company , 815 4335100 , httpwww.bbelec.com r s 2 3 2 485oi9tb 5 8 4 s r tda tdb rda rdb gnd 12vdc tr tr 4 3 12 volt power supply 120v ac watlow pn 080304730005 watlow pn 083004730002 figure 11b bb converters isolated converter 4850i9tb bb electronics manufacturing company , 815 4335100 , httpwww.bbelec.com power supply dc eiatia 485 converter b a gnd sd sd sd 3 4 3 4 3 4 tr tr figure 11c wiring bias and termination resistors . controllers must be wired in a daisy chain configuration . add a 120 termination resistor on the last controller . watlow series sd31 cid1 11 cid1 chapter 2 install and wire ethernet gateway the em00gate0000 is a bridge that allows up to 32 watlow controllers to be directly connected to an ethernet network . the gateway provides a bridge for modbus mes sages","How should SD31 controllers be wired when using EIA-485 converters and the EM gateway?","Controllers must be wired in a daisy chain configuration. A 120 Ω termination resistor should be added on the last controller. The EM gateway allows up to 32 controllers to connect to an Ethernet network and bridges Modbus messages."
"between the ethernet bus and eia485 or eia232 links . the gateway supports full product configuration monitoring and configuration of run time parameters via modbus tcp over tcpip using a software package such as watlows watview . the series sd31 can be configured using watview with or without the em gateway . for more information , go to www.watlow.com and search on em gateway . 3 4 tr tr ethernet rj45 24v acdc figure 12a connecting to the watlow em gateway ethernet to eiatia 485 serial modbus connection . controllers must be wired in a daisy chain configuration . note ul approved , class 2 , power supply required as em gateway power source 24v dc , part 08300474000. watlow series sd31 cid1 12 cid1 chapter 2 install and wire notes watlow series sd31 cid1 13 cid1 chapter 2 install and wire 3 keys and displays four digit , led display cid127 indicates process value or set point information or cid127 page name , prompt name or prompt value , depend ing upon the key combi nation pressed . timer indication timer option only colon indicates status of timer . sdxx 1 2 rdy set active output indicator lights lit","How can SD31 controllers be configured when connected to the EM gateway?","The controllers can be fully configured and monitored via Modbus TCP over TCP/IP using the Watlow Watview software. They can be configured with or without the EM gateway. The EM gateway requires a UL-approved, Class 2, 24V DC power supply."
"when the correspon ding controller output or alarm is on . ready status indica tor light timer op tion only lit when the correspon ding controller output is on . automanual control indicator light on manual mode open loop control off auto mode closed loop control set key press to view set point , process or parameter values , depending on dsp setting . release key to view page or parameter informa tion . infinity key returns to the home page . press and hold the infinity key for about 2 seconds to enter the operations page . clears latching alarms . up and down keys on the home page , adjusts the set point you may need to press and hold the key depending on dsp setting . on other pages , selects parame ters , or allows changing parameter values when key is pressed . note after 60 seconds with no key presses , the controller reverts to the home page . watlow series sd31 cid1 14 cid1 chapter 3 keys and displays home page overview the home page is the default display of the series sd31 controller . the home page can be configured to display either","How do the indicator lights and keys function on the SD31 home page?","The ready status indicator light is on when the corresponding output or alarm is on. The auto/manual light indicates mode. Pressing the set key shows set point, process, or parameter values; the infinity key returns to the home page. Up and down keys adjust set point or select/change parameters. The controller reverts to the home page after 60 seconds of inactivity."
"the process value or set point value . see the dsp prompt on the setup page . this parameter determines what parameters and values are displayed . automatic mode the indicator light is off . press key 75 actual temperature 75 set point value use up or down keys to raise or lower the set point . manual mode the indicator light is on . 75 actual temperature press key 00 output power setting use up or down keys to raise or lower the set point . error condition the indicator light is on . if the controller was in auto mode it will switch to manual mode when it detects an input error . erin error message press key 00 output power setting use up or down keys to raise or lower the set point . alarm message a1lo75 actual temperature press key a1lo80 set point value alarm message alternates with set point or process val ue auto mode or power setting manual mode . the corresponding output indicator light is on . during ramping the display alternates between the current set point achieved in the ramp , the actual process value and the target set point . the","How are set point adjustments and alarm indications displayed on the SD31?","In automatic mode, the indicator light is off; in manual mode, it is on. Pressing the appropriate key adjusts the actual temperature or output power set point. If an input error occurs, the controller switches to manual mode. Alarm messages alternate with set point or process values, and the output indicator light shows the corresponding output status. During ramping, the display alternates between current set point, actual process value, and target set point."
"prompt appears in the display first and then the value for that prompt . rp75proc72rptg100 current set point prompt current set point value current process prompt current process value target set point prompt target set point value to change the target set point value , press and hold the key and adjust the set point value using the up or down keys . once the current set point reaches the target set point value , the ramp is complete and the display stops alternating . appears if dsp pro . if dsp set , press the key to view this parameter . appears if dsp pro . if dsp set , you do not need to press the key to view this parameter . note see timer chapter for additional displays available with the timer option . adjusting the control set point the controller must be in automatic mode . adjust the control set point on the home page . it is not necessary to enter any other page . with dsp pro on setup page , the process temperature appears in the display . press and hold the key to display the control set point . to adjust the","How does the SD31 handle ramping to a target set point?","To change the target set point, press and hold the key and adjust using the up or down keys. The display alternates between current set point, actual process value, and target set point until the target is reached, after which the display stops alternating. Adjustments must be done in automatic mode on the home page; other pages do not need to be accessed."
"set point 1. ensure the controller is in the automatic mode and that you are on the home page . if you are on any other page , press the infinity key . 2. the process temperature is displayed in the display window . press and hold the key , and use the up key to increase the set point or press the down key to decrease the set point value . 3. the controller will automatically begin using the new set point after three seconds . or press the infini ty key to immediately use the new value . with dsp set on setup page , the control set point appears in the display , if the controller is in the au tomatic mode . to adjust the set point 1. ensure the controller is in the automatic mode and that you are on the home page . if you are on any other page , press the infinity key . 2. the temperature set point is displayed in the dis play window . press the up key to increase the temperature . press the down key to decrease the temperature . 3. the controller will automatically begin using","How do you adjust the control set point on the SD31?","Ensure the controller is in automatic mode and on the home page. Press and hold the key while using the up or down keys to increase or decrease the set point. The controller begins using the new set point automatically after three seconds, or immediately by pressing the infinity key."
"the new set point after three seconds . or press the infini ty key to immediately use the new value . note the loc parameter can lock the ability to adjust the set point . if you are unable to adjust the set point , check loc set ting on the setup page . note to stop the series sd31 controller from controlling to a set point , press and hold the key and press the down key until the set point value displays off . a set point value of one less than the sp low value turns the control outputs off and the controller will no longer attempt to maintain a set point . caution the controller is in the manual mode when the percent led is lit . if the controller is in the manual mode , the manual out put power value is displayed in place of the automatic mode control set point . setting this value can force an output to stay on regardless of the temperature reading . always ensure you are in the automatic mode when adjusting the temperature set point value . watlow series sd31 cid1 15 cid1 chapter 3 keys and","What precautions should you take when adjusting the set point on the SD31?","Check the LOC parameter if you cannot adjust the set point. Ensure the controller is in automatic mode when adjusting. Pressing down until 'OFF' stops control. Manual mode shows output power instead of automatic set point, which can force outputs to remain on. Always return to automatic mode to safely adjust the set point."
"displays oper operations page overview the operations page contains parameters accessed during normal daytoday operation . the series sd31 provides a patented userdefinable menu system , allowing the user to customize the operations page contents . to go to the operations page , press and hold the infinity key for about three seconds from the home page . cid127 press the down or up keys to move through the operations page parameters . cid127 to view or change a parameter value , press and hold the key . cid127 press the down or up keys to change the parame ter value . cid127 press the infinity key at any time to return to the home page . operations page with timer option without timer option typical de faults hour countdown timer hours poht power heat min countdown timer minutes am automanual sec countdown timer seconds aut autotune rdy ready band cal calibration offset ctsp closed loop timer set point htm heat con trol method poht power heat pbht proportional band heat aut autotune reht reset heat cal calibration offset raht rate heat htm heat control method hhys heat hysteresis pbht proportional band heat clm cool control method reht reset heat","How is the Operations page on the SD31 accessed and used?","Press and hold the infinity key for about three seconds from the home page to enter the operations page. Use up and down keys to navigate through parameters. Press and hold the key to view or change values. Press infinity at any time to return to the home page. The user can customize parameters, including timers, heat/cool settings, and calibration offsets."
